"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_617",0,0,17,94,0,0,0,0,0,0
"ASV_618",0,0,0,7,0,0,0,0,0,0
"ASV_619",665,37,299,268,11,0,0,8,0,6
"ASV_622",0,0,0,12,0,0,0,0,0,0
"ASV_624",852,0,528,0,0,0,0,0,0,27
"ASV_625",0,0,0,9,0,0,11,373,0,0
"ASV_628",0,0,0,8,0,0,0,0,3,0
"ASV_634",20,0,280,0,19,0,0,0,0,0
"ASV_636",79,48,139,909,0,0,0,0,0,0
"ASV_637",0,0,25,1363,0,0,0,0,0,0
"ASV_642",0,0,0,0,0,267,0,965,74,0
"ASV_643",36,131,962,0,0,0,0,12,0,169
"ASV_646",0,0,0,15,0,0,0,0,0,0
"ASV_647",352,0,199,267,155,0,0,0,0,0
"ASV_648",15,0,0,0,0,0,0,0,0,0
"ASV_651",0,0,50,0,0,66,59,112,373,0
"ASV_667",122,21,307,312,0,0,21,470,9,28
"ASV_673",0,0,22,0,0,32,69,249,228,34
"ASV_675",0,0,1229,0,0,0,0,0,0,0
"ASV_676",0,0,0,5,0,0,0,0,0,0
"ASV_680",0,0,0,0,0,91,117,0,0,974
"ASV_682",0,0,0,18,0,0,0,0,0,0
"ASV_686",0,0,0,22,16,0,0,0,0,0
"ASV_687",10,0,165,0,15,0,9,1040,0,0
"ASV_691",0,0,0,0,0,37,0,171,0,71
"ASV_695",0,0,0,0,0,27,125,189,366,55
"ASV_697",0,0,0,0,0,391,0,111,59,0
"ASV_698",0,139,81,0,0,0,0,0,1020,0
"ASV_706",662,0,325,142,0,0,12,0,21,60
"ASV_708",0,0,0,0,4,0,0,0,0,0
"ASV_710",408,637,0,87,0,0,76,7,0,0
"ASV_711",0,0,0,0,0,0,37,23,2,646
"ASV_713",42,391,110,545,0,0,0,0,0,0
"ASV_715",0,0,0,12,0,0,0,0,0,0
"ASV_716",79,0,114,21,137,0,24,40,92,0
"ASV_718",0,0,0,0,0,0,0,5,0,0
"ASV_725",0,0,0,0,0,0,140,134,0,891
"ASV_727",0,52,13,10,0,43,0,49,239,0
"ASV_730",0,0,1090,0,0,43,0,0,0,0
"ASV_731",0,0,1149,0,0,0,0,0,0,0
"ASV_733",0,0,16,0,0,91,0,202,500,0
"ASV_736",0,70,65,16,0,0,0,845,0,43
"ASV_737",382,0,163,260,20,0,10,6,0,0
"ASV_747",245,0,634,145,101,0,0,0,0,0
"ASV_749",158,315,66,322,0,0,0,73,0,0
"ASV_752",160,585,25,344,0,0,0,0,0,0
"ASV_753",0,0,3,0,0,0,0,0,0,0
"ASV_755",0,0,56,0,0,0,12,386,133,83
"ASV_756",235,21,458,241,8,36,0,49,0,0
"ASV_757",0,0,57,59,0,80,0,0,0,0
"ASV_759",3,0,0,0,0,0,0,0,0,0
"ASV_760",0,0,0,0,0,0,0,0,0,25
"ASV_761",407,0,309,211,0,0,0,0,158,0
"ASV_763",0,0,0,5,0,0,0,0,0,0
"ASV_765",0,0,0,9,0,0,0,0,0,0
"ASV_766",24,9,0,0,0,17,109,386,121,158
"ASV_778",207,0,0,561,0,0,0,0,0,0
"ASV_779",0,0,1064,10,0,0,0,0,0,0
"ASV_780",8,0,0,0,0,14,0,761,0,235
"ASV_782",871,138,49,0,0,0,0,0,0,0
"ASV_785",0,14,164,0,324,0,72,48,0,116
"ASV_787",43,148,651,0,0,0,0,0,0,0
"ASV_788",0,0,0,0,0,0,0,1046,0,0
"ASV_790",0,0,0,8,0,0,0,0,0,0
"ASV_793",137,0,0,0,0,0,0,0,0,0
"ASV_801",0,0,0,0,258,0,0,0,0,0
"ASV_803",287,0,204,356,33,0,0,0,0,17
"ASV_804",0,0,11,0,0,53,6,152,70,206
"ASV_806",313,29,65,270,0,0,0,0,0,0
"ASV_807",0,0,0,0,0,0,18,0,0,254
"ASV_808",214,0,143,0,0,0,0,0,0,0
"ASV_810",0,0,0,0,0,0,0,0,0,8
"ASV_811",0,0,0,0,0,0,0,4,0,0
"ASV_813",0,0,0,0,0,0,154,280,79,330
"ASV_814",0,0,0,9,0,0,0,0,0,0
"ASV_815",303,144,0,540,0,0,0,0,0,0
"ASV_818",0,0,0,0,0,827,0,0,0,183
"ASV_819",0,0,0,25,0,0,0,0,0,0
"ASV_821",0,0,57,0,0,96,0,558,119,174
"ASV_827",0,0,0,0,0,0,166,206,39,263
"ASV_829",114,329,11,471,0,0,0,0,0,20
"ASV_832",349,79,296,269,0,0,0,0,0,0
"ASV_834",0,0,0,0,0,0,0,14,0,0
"ASV_846",182,31,75,16,0,0,47,110,54,396
"ASV_847",96,0,0,0,0,24,0,16,0,0
"ASV_850",8,0,0,0,0,0,0,0,0,0
"ASV_852",0,0,0,0,0,0,150,205,22,238
"ASV_859",0,8,0,7,0,9,19,145,24,281
"ASV_860",0,0,0,0,0,0,23,0,0,19
"ASV_866",0,0,0,0,0,0,0,0,0,944
"ASV_869",21,0,146,86,30,0,0,0,0,0
"ASV_876",919,0,0,0,0,0,0,0,0,0
"ASV_884",52,118,22,131,0,204,0,30,0,25
"ASV_894",0,0,0,0,0,36,0,0,0,8
"ASV_895",0,39,0,0,0,0,91,84,485,44
"ASV_899",0,0,0,0,0,0,0,0,23,46
"ASV_908",0,0,7,0,0,0,7,14,8,0
"ASV_913",11,0,0,0,0,0,0,0,0,0
"ASV_918",0,0,801,33,0,0,0,0,0,0
"ASV_920",649,0,204,0,0,0,0,0,0,0
"ASV_921",72,0,336,9,0,2,0,228,0,0
"ASV_925",9,0,0,16,0,0,0,0,0,9
"ASV_941",34,0,34,39,0,0,27,45,120,57
"ASV_946",0,0,0,0,0,0,0,0,122,46
"ASV_947",0,0,0,0,0,348,0,0,11,84
"ASV_948",0,732,73,29,0,0,0,0,0,0
"ASV_950",0,316,0,0,0,0,0,0,0,0
"ASV_951",0,0,819,10,0,0,0,0,0,0
"ASV_953",4,0,0,0,0,0,0,0,0,0
"ASV_955",651,0,104,71,0,0,0,0,0,0
"ASV_956",0,599,91,0,0,0,0,0,0,133
"ASV_957",0,25,0,0,0,0,0,0,0,0
"ASV_959",0,18,25,8,0,8,0,65,0,12
"ASV_965",0,0,0,0,0,0,36,0,0,733
"ASV_968",357,0,158,296,0,0,0,0,0,0
"ASV_969",15,16,14,24,0,10,107,0,50,431
"ASV_972",0,0,0,9,0,0,73,0,0,723
"ASV_981",0,0,0,11,0,0,0,0,0,0
"ASV_983",0,0,0,788,0,0,0,0,0,0
"ASV_989",0,12,0,0,0,0,0,0,0,0
"ASV_994",0,0,0,0,0,17,0,0,0,0
"ASV_997",0,0,766,0,0,0,0,0,0,0
"ASV_999",16,24,419,80,37,0,0,60,39,0
"ASV_1000",0,0,0,0,0,4,0,0,0,0
"ASV_1005",0,0,0,0,0,0,0,10,0,23
"ASV_1007",41,0,12,0,0,0,80,82,391,153
"ASV_1008",0,0,0,9,0,0,0,0,0,0
"ASV_1010",0,0,714,0,0,0,0,0,0,0
"ASV_1011",0,0,182,0,0,0,0,0,0,0
"ASV_1015",0,0,26,0,0,0,0,0,0,22
"ASV_1016",0,0,38,0,0,138,26,63,287,0
"ASV_1018",0,0,0,8,0,0,0,0,0,0
"ASV_1021",16,62,44,0,0,0,0,0,0,0
"ASV_1023",0,0,3,0,0,0,0,0,0,0
"ASV_1024",0,0,0,0,0,0,89,226,0,304
"ASV_1026",0,0,26,703,0,0,0,0,0,0
"ASV_1028",0,0,0,0,0,0,0,9,0,0
"ASV_1029",217,25,117,302,81,0,0,0,0,0
"ASV_1038",35,0,0,0,0,0,0,42,0,650
"ASV_1039",9,0,0,0,0,0,0,0,0,0
"ASV_1044",228,66,57,381,0,0,0,0,0,0
"ASV_1049",0,0,3,8,0,0,0,0,22,0
"ASV_1050",50,0,138,0,0,0,0,0,0,89
"ASV_1051",0,0,0,0,0,0,0,12,0,90
"ASV_1052",401,0,88,139,40,0,0,0,0,0
"ASV_1053",0,0,0,0,0,0,17,0,0,110
"ASV_1059",681,0,41,0,0,0,0,0,0,0
"ASV_1060",0,0,36,0,0,26,0,0,0,215
"ASV_1065",0,0,26,0,0,0,57,31,179,311
"ASV_1067",0,28,34,105,0,0,0,0,0,0
"ASV_1070",68,84,0,561,0,0,0,0,0,4
"ASV_1072",0,0,0,0,0,0,0,6,0,0
"ASV_1075",0,0,0,504,0,42,0,0,0,0
"ASV_1078",0,11,0,0,0,19,0,0,0,0
"ASV_1083",14,0,0,0,0,0,0,0,0,0
"ASV_1084",186,0,448,0,0,0,15,0,51,0
"ASV_1085",0,626,0,0,0,0,0,0,0,74
"ASV_1086",0,0,0,0,0,0,0,0,0,8
"ASV_1091",15,0,232,339,23,0,0,0,0,0
"ASV_1102",0,0,0,0,0,22,47,0,0,286
"ASV_1104",4,0,0,0,0,0,0,0,0,0
"ASV_1108",55,0,16,610,0,0,0,0,0,0
"ASV_1109",0,0,0,0,0,0,0,681,0,0
"ASV_1110",0,0,0,21,0,0,0,0,0,0
"ASV_1113",0,0,0,0,0,0,0,15,0,0
"ASV_1114",28,0,280,366,0,0,0,0,0,0
"ASV_1118",0,36,71,423,0,0,0,0,0,0
"ASV_1121",56,0,123,386,6,0,0,0,0,12
"ASV_1125",0,0,12,0,0,0,0,0,0,0
"ASV_1127",226,53,107,35,124,0,6,0,13,0
"ASV_1130",0,0,666,0,0,0,0,0,0,0
"ASV_1135",0,0,0,0,0,0,0,5,0,0
"ASV_1137",206,0,51,203,0,0,0,0,0,0
"ASV_1138",109,47,50,221,0,0,0,0,0,0
"ASV_1143",27,25,463,82,54,0,0,0,0,0
