"","SampleID","Salinity","Mean_Relabun","SEM"
"296","ASV_10_Unidentified Spirochaetia","Low",1.25110011941667,0.185181471936618
"297","ASV_10_Unidentified Spirochaetia","Medium",1.39455572918182,0.160683373941645
"298","ASV_1100_DSWT01","Ambient",0.0215427834166667,0.00678845830989769
"299","ASV_1100_DSWT01","Low",0.0163561955,0.00730999847410218
"300","ASV_1100_DSWT01","Medium",0.0199869593636364,0.0053339051506888
"301","ASV_1101_Desulfobulbus","Ambient",0.0263937885,0.00719032980596428
"302","ASV_1101_Desulfobulbus","Low",0.0195818456666667,0.00668516924432688
"303","ASV_1101_Desulfobulbus","Medium",0.0386602711818182,0.00583257325868425
"304","ASV_1102_Unidentified Burkholderiaceae","Ambient",0,0
"305","ASV_1102_Unidentified Burkholderiaceae","Low",0.0243285885,0.0243285885
"306","ASV_1102_Unidentified Burkholderiaceae","Medium",0.0162289123636364,0.0139012236534515
"307","ASV_1103_Oceanispirochaeta","Ambient",0.0214925213333333,0.0106105342977263
"308","ASV_1103_Oceanispirochaeta","Low",0.0166439569166667,0.00888365563100932
"309","ASV_1103_Oceanispirochaeta","Medium",0.0215651660909091,0.0100938792162155
"310","ASV_1104_Methylotenera","Ambient",0.00939636941666667,0.00349232377245158
"311","ASV_1104_Methylotenera","Low",0.0441469409166667,0.0151729983004463
"312","ASV_1104_Methylotenera","Medium",0.0312944549090909,0.00528746123164218
"313","ASV_1105_Unidentified Gammaproteobacteria","Ambient",0.0360526590833333,0.0121850493845264
"314","ASV_1105_Unidentified Gammaproteobacteria","Low",0.0211312895,0.00566642530618995
"315","ASV_1105_Unidentified Gammaproteobacteria","Medium",0.0345702385454545,0.0110273459017701
"316","ASV_1106_Unidentified UBA9160","Ambient",0.0222673109166667,0.00677980657570388
"317","ASV_1106_Unidentified UBA9160","Low",0.0141911205,0.00489526063883372
"318","ASV_1106_Unidentified UBA9160","Medium",0.0255019411818182,0.00767212156367119
"319","ASV_1107_Methylotenera","Ambient",0.0225266675833333,0.00754321098554688
"320","ASV_1107_Methylotenera","Low",0.0210165735833333,0.00774738959664829
"321","ASV_1107_Methylotenera","Medium",0.0208176540909091,0.00685481782312592
"322","ASV_110_JABDJL01","Ambient",0.00749907208333333,0.00519351293307572
"323","ASV_110_JABDJL01","Low",0.00195166883333333,0.00195166883333333
"324","ASV_110_JABDJL01","Medium",0.0169407862727273,0.00964501564426928
"325","ASV_1110_Unidentified Rhodobacteraceae","Ambient",0.0279722521666667,0.009995850505546
"326","ASV_1110_Unidentified Rhodobacteraceae","Low",0.00780374466666667,0.00574542065696157
"327","ASV_1110_Unidentified Rhodobacteraceae","Medium",0.0319225791818182,0.0146956378538868
"328","ASV_1111_UBA1844","Ambient",0.0378998696666667,0.0107446366044981
"329","ASV_1111_UBA1844","Low",0.0162134755833333,0.00633819689390185
"330","ASV_1111_UBA1844","Medium",0.0216188911818182,0.00788916973925542
"331","ASV_1112_Unidentified Bacteroidales","Ambient",0.0136016194166667,0.00629767018913145
"332","ASV_1112_Unidentified Bacteroidales","Low",0.0133001955,0.00762118923168378
"333","ASV_1112_Unidentified Bacteroidales","Medium",0.0379624041818182,0.0113896782141485
"334","ASV_1113_Psychromonas","Ambient",0.0251893916666667,0.00866084076472038
"335","ASV_1113_Psychromonas","Low",0.0273040595,0.00989399666093863
"336","ASV_1113_Psychromonas","Medium",0.0253163389090909,0.00771861748254849
"337","ASV_1115_Clostridium_P","Ambient",0.0321629203333333,0.00859135690939238
"338","ASV_1115_Clostridium_P","Low",0.01003807325,0.0030764173592735
"339","ASV_1115_Clostridium_P","Medium",0.0248877798181818,0.00553605343864576
"340","ASV_1116_Pseudoclostridium","Ambient",0.02653989425,0.00590390602992505
"341","ASV_1116_Pseudoclostridium","Low",0.0122907820833333,0.00433781427280975
